,CWE_CLASS,CLEAN_DESCRIPTION
3,1,prompt parsing bash allows local user execute commands user creating directory command execute
4,1,perl sh csh shell interpreters installed cgi bin directory www site allows remote attackers execute arbitrary commands
5,1,internet explorer allows remote attackers modify execute files import export favorites feature aka importexportfavorites vulnerability
7,1,download behavior internet explorer allows remote attackers read arbitrary files server redirect
12,1,windows nt autorun executes file non removable media allows local attackers specify alternate program execute users access drive
22,1,bajie http jserver versions allows remote attackers execute arbitrary commands shell metacharacters http request cgi program exist
23,1,uploadservlet bajie http jserver possibly versions allows remote attackers execute arbitrary commands calling servlet upload program modified access file created program
43,1,php file inclusion vulnerability oscommerce execute arbitrary commands parameter
44,1,php remote file inclusion vulnerability oscommerce exchange project allows remote attackers execute arbitrary php code parameter
48,1,php remote file inclusion vulnerability news evolution allows remote attackers execute arbitrary php commands neurl parameter admin modules
55,1,php remote file inclusion vulnerability phpbb advanced quick reply hack allows remote attackers execute arbitrary php code parameter
57,1,php remote file inclusion vulnerability thatware allows remote attackers execute arbitrary php code parameter
58,1,php remote file inclusion vulnerability thatware allows remote attackers execute arbitrary php code parameter
59,1,php remote file inclusion vulnerability thatware allows remote attackers execute arbitrary php code parameter
63,1,static code injection vulnerability mysimplenews allows remote attackers inject arbitrary php code html login data mess parameters inserted
94,1,caché database installs csp directory insecure permissions allows local users execute arbitrary code adding server scripts executed root privileges
101,1,php remote file include vulnerability gallery running windows configuration mode unix allows remote attackers inject arbitrary php code url parameter different vulnerability note issue exploitable installation administrator run security script installation
103,1,php remote file inclusion vulnerability cutenews allows remote attackers execute arbitrary php code url cutepath parameter
105,1,php remote file inclusion vulnerability allows remote attackers execute arbitrary php code viaa url prefix parameter
116,1,invision power board allows remote attackers execute arbitrary php code enabled modifying parameter reference url remote web server contains code
118,1,php remote file inclusion vulnerability d forum allows remote attackers execute arbitrary php code url parameter parameter
119,1,php remote file inclusion vulnerability aka cedric email reader allows remote attackers execute arbitrary php code parameter
120,1,php remote file inclusion vulnerability cedric email reader allows remote attackers execute arbitrary php code parameter
121,1,php remote file inclusion vulnerability gonicus system administrator gosa allows remote attackers execute arbitrary php code plugin parameter base parameter include
123,1,epic games unreal engine allows remote attackers cause denial service cpu consumption crash possibly execute arbitrary code packet negative size value treated large positive number memory allocation negative size value package file
125,1,php remote file inclusion vulnerability nukebrowser allows remote attackers execute arbitrary php code filhead parameter
128,1,multiple php remote file inclusion vulnerabilities ttcms ttforum allow remote attackers execute arbitrary php code template parameter installdir parameter
131,1,kerio personal firewall kpf default rule accept incoming packets dns udp port allows remote attackers bypass firewall filters packets source port
134,1,php remote file inclusion vulnerability cpcommerce allows remote attackers execute arbitrary code prefix parameter
167,1,php remote file inclusion vulnerability wp links wordpress allows remote attackers execute arbitrary php code url abspath variable
172,1,php remote file inclusion vulnerabilities include allmyvisitors allmylinks allmyguests allow remote attackers execute arbitrary php code url parameter
177,1,oracle database server allows local users execute commands additional privileges package publicly accessible
184,1,crlf injection vulnerability microsoft internet explorer earlier allows remote attackers execute arbitrary ftp commands url contains url encoded newline ftp command causes commands inserted resulting ftp session demonstrated port command
188,1,php remote file inclusion vulnerability zeroboard earlier allows remote attackers execute arbitrary php code modifying parameter dir parameter reference url remote web server contains code
189,1,multiple php remote file inclusion vulnerabilities sean proctor php calendar commonwealth massachusetts virtual law office vlo products allow remote attackers execute arbitrary php code url parameter includes includes
198,1,tiki cms groupware tikiwiki earlier allows remote attackers inject arbitrary code theme country real displayed time zone fields user profile description url country fields directory add site operation
215,1,php remote file inclusion vulnerability phprojekt earlier allows remote attackers include arbitrary php code url parameter
226,1,php remote file inclusion vulnerability squirrelmail allows remote attackers execute arbitrary php code modifying url parameter reference url remote web server contains code
227,1,postgresql pgsql versions allows local users load arbitrary shared libraries execute code load extension
235,1,php remote file inclusion vulnerability tell friend script allows remote attackers execute arbitrary php code modifying parameter reference url remote web server contains code note later reported affected
236,1,mysql earlier allows remote authenticated users insert delete privileges execute arbitrary code create function access libc calls demonstrated strcat exit
237,1,php remote file inclusion vulnerability admin php mcnews allows remote attackers execute arbitrary php code modifying skinfile parameter reference url remote web server contains code
238,1,php remote file inclusion vulnerability webinsta mailing list manager allows remote attackers execute arbitrary php code modifying parameter reference url remote web server contains code
244,1,favicon functionality firefox mozilla suite allows remote attackers execute arbitrary code link tag javascript url href attribute aka firelinking
251,1,php remote file inclusion vulnerability broadpool siteframe allows remote attackers execute arbitrary code url parameter
253,1,php remote file inclusion vulnerability bitrix site manager allows remote attackers execute arbitrary php code parameter
262,1,firefox mozilla suite allows remote attackers modify http headers xml http requests xmlhttprequest possibly use client exploit vulnerabilities servers proxies including http request smuggling http request splitting
284,1,multiple eval injection vulnerabilities help function phpkit earlier enabled allow remote attackers execute arbitrary code server unknown attack vectors involving uninitialized variables
